categorie,groupe,code,organisme,famille,mode_action,matieres_actives,risque,estime
"Herbicides","Inhibiteurs de la photosynthèse","HRAC 6 (ex C3) / WSSA 6","HRAC","Nitriles, benzothiadiazinones, phénylpyridazines","Inhibition du photosystème II, site B (protéine D1, His215)","Bromoxynil, ioxynil, bentazone, pyridate","Faible à modéré","non"
"Herbicides","Inhibiteurs de la photosynthèse","HRAC 22 (ex D) / WSSA 22","HRAC","Bipyridyliums","Détournement des électrons du photosystème I (radicaux libres)","Paraquat, diquat","Modéré","non"
"Herbicides","Inhibiteurs de la synthèse des pigments","HRAC 12 (ex F1) / WSSA 12","HRAC","Pyridinecarboxamides, pyridazinones, nicotinanilides","Inhibition de la phytoène désaturase (PDS)","Diflufénican, flurtamone, norflurazon, béflubutamide, picolinafen","Faible à modéré","non"
"Herbicides","Inhibiteurs de la synthèse des pigments","HRAC 27 (ex F2) / WSSA 27","HRAC","Tricétones, isoxazoles, pyrazoles","Inhibition de la 4-HPPD (hydroxyphényl-pyruvate dioxygénase)","Mésotrione, sulcotrione, tembotrione, bicyclopyrone ; isoxaflutole ; topramezone, pyrasulfotole","Modéré","non"
"Herbicides","Inhibiteurs de la synthèse des pigments","HRAC 13 (ex F4) / WSSA 13","HRAC","Isoxazolidinones","Inhibition de la DOXP synthase (isoprénoïdes plastidiaux)","Clomazone","Faible","non"
"Herbicides","Inhibiteurs de la synthèse des pigments","HRAC 34 (ex F3) / WSSA 11","HRAC","Triazoles, diphényl éthers et divers (site indéterminé)","Inhibition de la lycopène cyclase, blanchiment","Amitrole, aclonifen, flurochloridone","Faible","oui"
"Herbicides","Inhibiteurs de la synthèse de la chlorophylle","HRAC 14 (ex E) / WSSA 14","HRAC","Diphényl éthers, N-phénylphtalimides, triazolinones, pyrimidinediones, oxadiazoles","Inhibition de la protoporphyrinogène oxydase (PPO)","Oxyfluorfène, bifénox, flumioxazine, carfentrazone-éthyl, sulfentrazone, saflufénacil, oxadiazon, oxadiargyl, tiafénacil","Faible à modéré","non"
"Herbicides","Inhibiteurs de la division cellulaire et de la paroi","HRAC 3 (ex K1) / WSSA 3","HRAC","Dinitroanilines, benzamides, phosphoroamidates, pyridines","Inhibition de l'assemblage des microtubules (tubuline)","Pendiméthaline, trifluraline, oryzaline ; propyzamide ; dithiopyr","Modéré","non"
"Herbicides","Inhibiteurs de la division cellulaire et de la paroi","HRAC 23 (ex K2) / WSSA 23","HRAC","Carbamates","Inhibition de l'organisation des microtubules en mitose","Chlorprophame, prophame, carbétamide","Faible à modéré","oui"
"Herbicides","Inhibiteurs de la division cellulaire et de la paroi","HRAC 15 (ex K3) / WSSA 15","HRAC","Chloroacétamides, oxyacétamides, isoxazolines, tétrazolinones","Inhibition de l'élongation des acides gras à très longue chaîne (VLCFA)","S-métolachlore, métazachlore, diméthénamide-P, acétochlore, péthoxamide ; flufénacet ; pyroxasulfone","Faible à modéré","non"
"Herbicides","Inhibiteurs de la division cellulaire et de la paroi","HRAC 29 (ex L) / WSSA 29","HRAC","Nitriles, benzamides, triazolocarboxamides, alkylazines","Inhibition de la synthèse de la cellulose","Dichlobénil, isoxaben, flupoxam, indaziflam","Faible","non"
"Herbicides","Régulateurs de croissance et divers","HRAC 4 (ex O) / WSSA 4","HRAC","Acides phénoxy-carboxyliques, benzoïques, pyridine-carboxyliques, quinoléine-carboxyliques, arylpicolinates","Auxines de synthèse (mimétiques de l'AIA)","2,4-D, MCPA, mécoprop-P, dichlorprop-P ; dicamba ; clopyralid, picloram, fluroxypyr, aminopyralide, triclopyr ; quinclorac ; halauxifen, florpyrauxifen","Modéré","non"
"Herbicides","Régulateurs de croissance et divers","HRAC 19 (ex P) / WSSA 19","HRAC","Phtalamates, semicarbazones","Inhibition du transport polarisé de l'auxine","Naptalame, diflufenzopyr","Faible","oui"
"Herbicides","Régulateurs de croissance et divers","HRAC 24 (ex M) / WSSA 24","HRAC","Dinitrophénols","Découplage de la phosphorylation oxydative","DNOC, dinosèbe, dinoterbe","Très faible","non"
"Herbicides","Régulateurs de croissance et divers","HRAC 30 / WSSA 30","HRAC","Benzyl éthers (cinméthyline)","Inhibition de la thioestérase des acides gras (FAT)","Cinméthyline","Faible","oui"
"Herbicides","Régulateurs de croissance et divers","HRAC 32 / WSSA 26","HRAC","Organoarséniés, acides organiques et divers","Modes d'action multiples ou non élucidés","MSMA, acide pélargonique, acide acétique, acide caprylique","Très faible","non"
"Herbicides","Régulateurs de croissance et divers","HRAC 0 (ex Z)","HRAC","Herbicides à mode d'action inconnu","Non élucidé","Flamprop-M, difenzoquat, fosamine, bromobutide","Faible","oui"
"Herbicides","Régulateurs de croissance et divers","Biocontrôle","Biocontrôle","Acides gras et extraits végétaux","Destruction de la cuticule et des membranes (contact, non sélectif)","Acide pélargonique, huile essentielle de girofle, acide acétique concentré","Très faible","non"
"Nématicides","Nématicides de synthèse","IRAC 1A","IRAC","Carbamates et oximes carbamates","Inhibition de l'acétylcholinestérase : paralysie du nématode","Oxamyl, aldicarbe, carbofuran, benfuracarbe","Modéré à élevé","non"
"Nématicides","Nématicides de synthèse","IRAC 1B","IRAC","Organophosphorés","Inhibition de l'acétylcholinestérase : paralysie du nématode","Fénamiphos, cadusafos, éthoprophos, fosthiazate, terbufos","Modéré à élevé","non"
"Nématicides","Nématicides de synthèse","IRAC 6","IRAC","Avermectines","Activation du canal chlorure glutamate-dépendant (GluCl)","Abamectine","Modéré","non"
"Nématicides","Nématicides de synthèse","FRAC 7 / IRAC 25","FRAC","Pyridinyl-éthyl-benzamides (SDHI)","Inhibition de la succinate déshydrogénase (complexe II)","Fluopyram","Modéré","non"
"Nématicides","Nématicides de synthèse","IRAC 23","IRAC","Dérivés d'acides tétramiques","Inhibition de l'acétyl-CoA carboxylase (effet sur la reproduction)","Spirotétramate","Faible à modéré","oui"
"Nématicides","Nématicides de synthèse","IRAC UN","IRAC","Fluoroalcényl thioéthers","Mode d'action multiple non élucidé, paralysie irréversible","Fluensulfone","Faible","oui"
"Nématicides","Nématicides de synthèse","IRAC UN","IRAC","Thiadiazoles et oxadiazoles","Inhibition présumée de la synthèse protéique mitochondriale","Tioxazafen","Faible","oui"
"Nématicides","Fumigants et générateurs d'isothiocyanate","Fumigants","Fumigants","Halogéno-alcanes et dérivés","Multi-sites : alkylation des protéines et des acides nucléiques","1,3-dichloropropène, bromure de méthyle, chloropicrine","Très faible","non"
"Nématicides","Fumigants et générateurs d'isothiocyanate","Fumigants","Fumigants","Dithiocarbamates générateurs de MITC","Libération d'isothiocyanate de méthyle : blocage enzymatique multi-sites","Métam-sodium, métam-potassium, dazomet","Très faible","non"
"Nématicides","Nématicides de biocontrôle et leviers alternatifs","Biocontrôle","Biocontrôle","Champignons nématophages et parasites d'oeufs","Parasitisme des oeufs et des juvéniles, dégradation de la coque","Purpureocillium lilacinum, Pochonia chlamydosporia, Trichoderma spp.","Très faible","non"
"Nématicides","Nématicides de biocontrôle et leviers alternatifs","Biocontrôle","Biocontrôle","Bactéries rhizosphériques et parasites obligatoires","Colonisation racinaire, perturbation de la reconnaissance de l'hôte","Bacillus firmus, Bacillus amyloliquefaciens, Pasteuria penetrans","Très faible","non"
"Nématicides","Nématicides de biocontrôle et leviers alternatifs","Biocontrôle","Biocontrôle","Extraits botaniques et terpènes","Effet nématotoxique et répulsif de contact","Extrait de Quillaja saponaria, huile essentielle de Melaleuca, azadirachtine, furfural","Très faible","non"
"Nématicides","Nématicides de biocontrôle et leviers alternatifs","Agronomique","Biocontrôle","Biofumigation (glucosinolates)","Libération d'isothiocyanates par hydrolyse enzymatique des Brassicacées","Moutarde brune, radis fourrager, roquette en engrais vert","Très faible","non"
